SKU,Item Name,Vendor Code,Purchase UOM,Pack Size,Inventory UOM,Conversion Factor,Measure Type,Recipe UOM
BKGENBAGUET,"Baguette 1each","600","each","1each","each",1,Each,"oz"
P8274,"banana nut muffin (each) 1each","P827-4","case","4/1each","each",4,Each,"oz"
BKGENBIRTHD,"Birthday Cake Carol Cake $60 1each","","each","1each","each",1,Each,"oz"
P8084,"Blueberry Muffin 1each","P808-4","case","4/1each","each",4,Each,"oz"
P808-4,"Blueberry Muffin 1each","P808-4","case","4/1each","each",4,Each,"ea"
FB311,"Brioche Bun 1bun","","each","1each","each",1,Each,"oz"
BKGENBUNHAM01,"Bun Hamburger Potato 3.5 In","","each","1each","each",1,Each,"unit"
BKGENBUNHAM01,"Bun Hamburger Potato 3.5 In","","case","1ea","ea",1,Each,"unit"
BKGENBUNHAM02,"BUN Hamburger Potato 3.5in 9/8 CT","","case","8/1each","each",8,Each,"unit"
BKGENBUNHAM02,"BUN Hamburger Potato 3.5in 9/8 CT","","case","1ea","ea",1,Each,"unit"
BKGENBUNHAM,"BUN Hamburger Potato 8/8 CT","","case","8/1each","each",8,Each,"unit"
BKGENBUNHAM,"BUN Hamburger Potato 8/8 CT","","case","1ea","ea",1,Each,"unit"
P5074,"Butter Croissant 1each","P507-4","case","6/1each","each",6,Each,"oz"
BKGENCHALLA,"Challah Bun 1OZ Egg Wash","","bottle","1oz","oz",1,Each,"unit"
BKGENCHALLA,"Challah Bun 1OZ Egg Wash","","case","1ea","ea",1,Each,"unit"
P602-4,"Cheese Danish 1each","P602-4","case","4/1each","each",4,Each,"ea"
P6024,"Cheese Danish 1each","P602-4","case","4/1each","each",4,Each,"oz"
P8074,"Chocolate Chip Muffin 1each","P807-4","case","4/1each","each",4,Each,"oz"
P8074,"Chocolate Chip Muffin 1each","P807-6","case","6/1each","each",6,Each,"oz"
P807-6,"Chocolate Chip Muffin 1each","P807-6","case","6/1each","each",6,Each,"ea"
P5046,"Chocolate Croissant 1each","P504-6","case","6/1each","each",6,Each,"oz"
P5046,"Chocolate Croissant 1each","P505-4","case","4/1each","each",4,Each,"oz"
P504-6,"Chocolate Croissant 1each","P504-6","case","6/1each","each",6,Each,"ea"
BKGENCIABAT,"Ciabatta 1loaf","","each","1each","each",1,Each,"oz"
P506-6,"Croissant, Mini 1each","P506-6","case","6/1each","each",6,Each,"ea"
P5066,"Croissant, Mini 1each","P506-6","case","6/1each","each",6,Each,"oz"
BKGENCUSTOM,"Custom Cake 1each","","each","1each","each",1,Each,"oz"
BKGENFOCACC,"Focaccia 1each","","each","1each","each",1,Each,"oz"
23288,"FZN-BREAD HOAGIE ROLL MARTIN 36each","23288","each","36each","each",36,Each,"ea"
IT23288,"FZN-BREAD HOAGIE ROLL MARTIN 36each","","each","1each","each",1,Each,"oz"
IT933045,"Gluten Free Bun 1bun","","each","1each","each",1,Each,"oz"
10355219,"Gluten Free Pizza Crust 1each","10355219","case","20/1each","each",20,Each,"ea"
IT10355219,"Gluten Free Pizza Crust 1each","10355219","case","20/1each","each",20,Each,"oz"
IT10355219,"Gluten Free Pizza Crust 1each","18043","case","24/1each","each",24,Each,"oz"
933045,"Hamburger Bun 3.2oz","933045","case","24/3.2oz","oz",76.8,Volume,"oz"
BKGENHEAVYD,"Heavy Duty Roll Foil 18"x500' 1/1 CT","","case","1each","each",1,Each,"unit"
BKGENHEAVYD,"Heavy Duty Roll Foil 18"x500' 1/1 CT","","case","1ea","ea",1,Each,"unit"
IT10339083,"Hot Dog Bun 1bun","","each","1each","each",1,Each,"oz"
10339083,"Hot Dog Bun 1bun","10339083","case","36/1bun","bun",36,Each,"ea"
BKGENHOUSEB,"House Bread 1ct","","case","1each","each",1,Each,"oz"
IT10874,"Lavash 1each","10874","case","72/1each","each",72,Each,"oz"
10874,"Lavash 1each","10874","case","72/1each","each",72,Each,"ea"
BKGENMANFRE,"Manfredine Pasta 10/17.6 OZ CS Pit#: 5","","case","10/17.6oz","oz",176,Each,"unit"
BKGENMANFRE,"Manfredine Pasta 10/17.6 OZ CS Pit#: 5","","case","1ea","ea",1,Each,"unit"
23853,"Martin's Potato Bun 1roll","23853","case","48/1roll","roll",48,Volume,"oz"
BKGENPANKOB01,"Panko Bread Crumbs Japanese 1/20 LB PC","","case","1ea","ea",1,Each,"unit"
BKGENPANKOB01,"Panko Bread Crumbs Japanese 1/20 LB PC","","case","20lb","lb",20,Each,"unit"
BKGENPANKOB,"Panko Bread Crumbs Japanese 1/20 LB PC","","case","20lb","lb",20,Each,"unit"
BKGENPANKOB,"Panko Bread Crumbs Japanese 1/20 LB PC","","case","1ea","ea",1,Each,"unit"
BKGENPANKOB02,"Panko Bread Crumbs Japanese 1/20 LB PC","","case","20lb","lb",20,Each,"unit"
BKGENPANKOB02,"Panko Bread Crumbs Japanese 1/20 LB PC","","case","1ea","ea",1,Each,"unit"
FB100,"Pita Bread 1each","FB100","case","72/1each","each",72,Each,"oz"
F760,"Pizza Shell, 12" 1each","F760","case","50/1each","each",50,Each,"oz"
28234,"Potato Bun, 4" Frozen 12each","28234","case","5/12each","each",60,Each,"ea"
