Vendor Item Number,Vendor,Item,Purchase U of M,Vendor Item Name,Each Amt,Contract Price,Acceptable Variance %,Primary,Contract Expiration
" RICR23CHM",""," RICR23CHM","Case","Ceritas, 'Marena', Chardonnay 2023 750ml",6,,,Y,
"0004117-01","","0004117-01","Each","Beef, Patty Premium Mix 1lb",1,,,Y,
"0005510-01","","0005510-01","Each","Italian Sausage 1lb",16,,,Y,
"0006511-01","","0006511-01","Each","Lamb Bones 1lb",16,,,Y,
"0009026-01","","0009026-01","Each","Duck Bones, Frozen 1lb",16,,,Y,
"0009033-01","","0009033-01","Each","Cornish Hen 1lb",16,,,Y,
"0012019-01","","0012019-01","Each","Pork Loin Rib 1lb",16,,,Y,
"0012023-01","","0012023-01","Each","Pork Belly Trimmed 1lb",16,,,Y,
"0012120-01","","0012120-01","Each","Pork Butt 1lb",16,,,Y,
"0012215-01","","0012215-01","Case","Prosciutto 3oz",12,,,Y,
"0012241-01","","0012241-01","Each","Beef Bresaola 1lb",16,,,Y,
"0012295-01","","0012295-01","Each","Pork Loin Chop 1lb",16,,,Y,
"0012450-01","","0012450-01","Each","Pork Chop, Frenched 1lb",16,,,Y,
"0012511-01","","0012511-01","Case","Pork Shoulder, Ground 1lb",80,,,Y,
"0013049-01","","0013049-01","Each","Mortadella 1lb",16,,,Y,
"0013051-01","","0013051-01","Each","Molinari Salami 1lb",16,,,Y,
"0013098-01","","0013098-01","Each","Chorizo 1lb",16,,,Y,
"00151","","00151","Case","Cauliflower 1each",12,,,Y,
"0015194-01","","0015194-01","Each","Lamb Rack 1lb",16,,,Y,
"0016083-01","","0016083-01","Each","Scallop, Dry Pack Fresh 1lb",1,,,Y,
"0016093-01","","0016093-01","Each","Steelhead Trout 1lb",16,,,Y,
"0016147-01","","0016147-01","Each","Thai Snapper 1lb",16,,,Y,
"0016177-01","","0016177-01","Each","Loup de Mer 1lb",16,,,Y,
"0016276-01","","0016276-01","Case","Soft Shell Crab 1dozen",1.5,,,Y,
"0016289-01","","0016289-01","Each","Shrimp U7 1lb",16,,,Y,
"0016815-01","","0016815-01","Each","Tuna, Big Eye 1lb",16,,,Y,
"0016856-01","","0016856-01","Each","Boss Pasterurized Crab Meat 1tin",1,,,Y,
"0017339-01 ","","0017339-01 ","Each","Tail Flap 1lb",16,,,Y,
"0017418-01","","0017418-01","Each","Beef Tenderloin 5 up 1lb",16,,,Y,
"0017463-01","","0017463-01","Each","Bone Marrow 1lb",16,,,Y,
"0017678-01","","0017678-01","Each","Ribeye, Lip, Creekstone 1lb",16,,,Y,
"0017970-01","","0017970-01","Each","Filet Mignon, Wagyu 1lb",1,,,Y,
"00181","","00181","Case","Chile Arbol, Dry 1lb",80,,,Y,
"0020147-01","","0020147-01","Each","Chicken, Boneless Whole 1lb",16,,,Y,
"0020160-01","","0020160-01","Each","Chicken Tender, Breaded 1lb",16,,,Y,
"0020503-01","","0020503-01","Each","Chicken Thigh 1lb",16,,,Y,
"0020970-01","","0020970-01","Each","Chicken Wing, Frozen 1lb",16,,,Y,
"0021028-01","","0021028-01","Each","Chicken Leg 1lb",16,,,Y,
"0021060-01","","0021060-01","Each","Chicken, Whole 1lb",16,,,Y,
"0021086-01","","0021086-01","Each","Chicken Thigh, Boneless 1lb",16,,,Y,
"0021089-01","","0021089-01","Each","Chicken, Whole - Food 1lb",16,,,Y,
"0021090-01","","0021090-01","Each","Chicken Cage Bones 1lb",16,,,Y,
"0021540-01","","0021540-01","Each","Chicken Breast 1lb",16,,,Y,
"0022015-01","","0022015-01","Each","Chicken Wing, Jumbo 1lb",16,,,Y,
"0022016-01","","0022016-01","Each","Chicken- 8OZ SPLIT ROCKY 1lb",1,,,Y,
"0022092-01","","0022092-01","Each","Chicken Skin 1lb",16,,,Y,
"0023024-01","","0023024-01","Each","Chicken Wing 1lb",16,,,Y,
"00238","","00238","Each","Cayenne Pepper 1lb",16,,,Y,
"0031117-01","","0031117-01","Each","Turkey, Breast 1lb",16,,,Y,
"0032040-01","","0032040-01","Each","Rose Pork Sausage Links 1lb",16,,,Y,
"0035050-01","","0035050-01","Each","Veal Knuckle Bone 1lb",16,,,Y,
"0035298-01","","0035298-01","Each","Ora King Salmon 1lb",16,,,Y,
"0036001-01","","0036001-01","Each","Shrimp 21-25 White 1lb",16,,,Y,
"0036014-01","","0036014-01","Each","shrimp 31-40 White 1lb",16,,,Y,
"0036100-01","","0036100-01","Each","Halibu, Alaskan 1lb",16,,,Y,
"0036318-1","","0036318-1","Each","Black Tiger Shrimp 1lb",16,,,Y,
"0036366-01","","0036366-01","Each","shrimp head on 10-12 1lb",16,,,Y,
"0036563-01","","0036563-01","Each","Lobster Tails 1lb",16,,,Y,
"0037009-01","","0037009-01","Each","Hot Dog 1lb",16,,,Y,
"0037059-01","","0037059-01","Case","RIbeye, Sliced, Frozen 1lb",240,,,Y,
"0037066-01","","0037066-01","Each","Kusshi Oysters 1each",1,,,Y,
"0038010-01","","0038010-01","Each","Duck Breast, Boneless 1lb",16,,,Y,
"0038014-01","","0038014-01","Each","Duck Breast 1lb",16,,,Y,
"0038365-01","","0038365-01","Each","Ground Chicken 1lb",16,,,Y,
"0040230-01","","0040230-01","Each","Beef, Ground 1lb",16,,,Y,
"0040382-01","","0040382-01","Each","Tri Tip 1lb",16,,,Y,
"0040482-01","","0040482-01","Each","Tomahawk, Creekstone 1lb",16,,,Y,
"0041048-01","","0041048-01","Each","Filet Mignon 1lb",1,,,Y,
"0041620-01","","0041620-01","Each","Filet Mignon, 9+ Score 1lb",1,,,Y,
"0041672-01","","0041672-01","Each","New York Steak, Prime 1lb",16,,,Y,
"0043416-01","","0043416-01","Each","Hanging Tender, Prime 1lb",16,,,Y,
