Vendor Item Number,Vendor,Item,Purchase U of M,Vendor Item Name,Each Amt,Contract Price,Acceptable Variance %,Primary,Contract Expiration
"000667879","Spec's Wine, Spirits & Finer Foods","000667879","Each","Yamazaki Mizunara 25yr 700ml",1,,,Y,
"00104","Rare Foods","00104","Case","Edamame 1each",20,,,Y,
"00120","Rare Foods","00120","Case","Broccoli 1each",14,,,Y,
"00193","Rare Foods","00193","Case","Guajillo Chile, Dry 1lb",5,,,Y,
"00274","Rare Foods","00274","Case","Endive 1lb",10,,,Y,
"00308","Rare Foods","00308","Case","Garlic Peeled 1lb",5,,,Y,
"00327","The Chef's Warehouse Midwest LLC","00327","Case","Honey 1lb",80,,,Y,
"00362","Rare Foods","00362","Case","Iceberg Lettuce 1head",12,,,Y,
"00403","Rare Foods","00403","Case","Shitake Mushroom 1lb",5,,,Y,
"00621","Rare Foods","00621","Case","Shallot, Peeled 1lb",5,,,Y,
"00760","Rare Foods","00760","Each","Basil - Food 1lb",1,,,Y,
"00778","The Chef's Warehouse Midwest LLC","00778","Case","Granulated Sugar - Bev 1lb",400,,,Y,
"00780","Rare Foods","00780","Each","Chervil 1lb",1,,,Y,
"00790","Rare Foods","00790","Each","Chives 1lb",1,,,Y,
"00811","Chefs' Produce","00811","Case","Cello, Spinach 1lb",10,,,Y,
"00830","The Chef's Warehouse Midwest LLC","00830","Each","Mint - Bev 1lb",1,,,Y,
"01057","Rare Foods","01057","Each","Strawberry - Food 1each",1,,,Y,
"0110K ","The Chef's Warehouse Midwest LLC","0110K ","Case","Crème Fraiche - Food 1lb",2,,,Y,
"01241","Rare Foods","01241","Each","Passionfruit - Food 1each",1,,,Y,
"01270","Rare Foods","01270","Each","Pear, Apple 18each",1,,,Y,
"01357","Rare Foods","01357","Each","Frying Oil, No Trans Fat 35lb",35,,,Y,
"01417","The Chef's Warehouse Midwest LLC","01417","Case","Lemon - Bev 1each",165,,,Y,
"01424","The Chef's Warehouse Midwest LLC","01424","Case","Lime 1each",150,,,Y,
"01432","The Chef's Warehouse Midwest LLC","01432","Case","Orange - Bev 1each",88,,,Y,
"01452","The Chef's Warehouse Midwest LLC","01452","Each","Blood Orange - Bev 1Case",1,,,Y,
"01507","Rare Foods","01507","Case","Sesame Seed, White 1lb",5,,,Y,
"01671","Rare Foods","01671","Each","Radicchio, White 1Case",1,,,Y,
"01683","Rare Foods","01683","Case","Chervil 4oz",0.5,,,Y,
"01751","The Chef's Warehouse Midwest LLC","01751","Each","Orange Juice - Bev 1gal",128,,,Y,
"01845","Rare Foods","01845","Case","Edamame, Frozen 1lb",20,,,Y,
"02265","Rare Foods","02265","Case","Miso 1lb",2.2,,,Y,
"02306","Rare Foods","02306","Each","Gorgonzola Cheese 1lb",1,,,Y,
"02317","Rare Foods","02317","Case","American Cheese, Sliced 1lb",5,,,Y,
"02325","Rare Foods","02325","Each","Provolone Cheese 1lb",1,,,Y,
"02332","Rare Foods","02332","Case","Goat Cheese 1lb",4,,,Y,
"02606","Rare Foods","02606","Each","White Truffle Oil 8.4oz",0.525,,,Y,
"02633","Rare Foods","02633","Case","Japanese Yams 1lb",40,,,Y,
"02635","Rare Foods","02635","Case","Vanilla Icecream 1gal",3,,,Y,
"02896","Rare Foods","02896","Case","Panko Bread Crumbs 1lb",25,,,Y,
"02930","Rare Foods","02930","Case","Brown Sugar, Light 1lb",25,,,Y,
"03136","Rare Foods","03136","Case","Broccolini - Food 1each",18,,,Y,
"03279","Rare Foods","03279","Case","Tuscan Black Kale 1bunch",12,,,Y,
"03429","Rare Foods","03429","Each","Micro Cilantro - Food 1pack",1,,,Y,
"03573","Rare Foods","03573","Each","Corn Yellow 1case",1,,,Y,
"03615","Rare Foods","03615","Case","Cream 1gal",0.5,,,Y,
"03720","Rare Foods","03720","Case","French Fries 5/16 1lb",30,,,Y,
"03769","The Chef's Warehouse Midwest LLC","03769","Case","Tangerine 1lb",80,,,Y,
"03913","Rare Foods","03913","Each","Manchego 1lb",1,,,Y,
"04809","Rare Foods","04809","Each","Red Wine Vinegar 1gal",128,,,Y,
"04987","Rare Foods","04987","Case","Iceberg Baby Hearts 1head",40,,,Y,
"05032","Rare Foods","05032","Case","French Fries 1/4 1lb",27,,,Y,
"05221","Rare Foods","05221","Each","Champagne Vinegar 1gal",128,,,Y,
"05329","Rare Foods","05329","Case","Almonds, Roasted 1lb",5,,,Y,
"05455","Rare Foods","05455","Case","Crimini Mushroom 1lb",5,,,Y,
"05537","Rare Foods","05537","Case","Shimeji Brown Mushroom 5.3oz",63.6,,,Y,
"05659","Rare Foods","05659","Each","Pear Vinegar 1gal",128,,,Y,
"05802","Rare Foods","05802","Case","Whole Milk 1gal",0.5,,,Y,
"06001","Rare Foods","06001","Case","Fennel Seed, Whole 1oz",0.875,,,Y,
"06107","Rare Foods","06107","Each","Micro Basil 8oz",1,,,Y,
"0623942SX","Regalis TX","0623942SX","Case","Tenuta San Guido, 'Le Difese', Toscana IGT 2023 750ml",6,,,Y,
"06249","Rare Foods","06249","Each","Red Opal Basil 4oz",1,,,Y,
"0720518","Regalis TX","0720518","Case","Massolino, Barolo 2020 750ml",12,,,Y,
"07596","The Chef's Warehouse Midwest LLC","07596","Each","Half & Half 0.5gal",64,,,Y,
"07797","Rare Foods","07797","Each","Tangerine - Food 1Case",1,,,Y,
"07961","Rare Foods","07961","Case","Shimeji White Mushrooms 5.3oz",63.6,,,Y,
"08005","Rare Foods","08005","Each","Fennel Pollen 1oz",0.0625,,,Y,
"08134","Rare Foods","08134","Each","Wild Rocket Arugula 1lb",1,,,Y,
"08229","Rare Foods","08229","Each","wasabi micro 4oz",0.25,,,Y,
"09072","Rare Foods","09072","Case","Hen Of The Woods Mushroom 1lb",5,,,Y,
"09082","Rare Foods","09082","Case","Oyster Sauce 1lb",80,,,Y,
"09169","Rare Foods","09169","Each","Whole Milk 0.5gal",0.5,,,Y,
"09557","The Chef's Warehouse Midwest LLC","09557","Case","Blackberries 1each",3,,,Y,
"09559","The Chef's Warehouse Midwest LLC","09559","Each","Raspberries 1each",1,,,Y,
"09560","The Chef's Warehouse Midwest LLC","09560","Each","Bar Consumables 1each",1,,,Y,
"09562","Rare Foods","09562","Case","Brussel Sprouts 1lb",3,,,Y,
"09563","Rare Foods","09563","Case","Cabbage, Green (Head) 1each",3,,,Y,
"09564","Rare Foods","09564","Case","Napa Cabbage 1each",3,,,Y,
"09566","Rare Foods","09566","Case","Carrot, Jumbo 1lb",5,,,Y,
"09568","Rare Foods","09568","Case","Celery 1each",3,,,Y,
"09569","Rare Foods","09569","Case","Celery Root 1each",3,,,Y,
"09572","Rare Foods","09572","Case","Serrano - Food 1lb",2,,,Y,
"09578","The Chef's Warehouse Midwest LLC","09578","Case","Orange - Bev 1lb",80,,,Y,
"09581","Rare Foods","09581","Case","Corn, Yellow (Ear) 1each",6,,,Y,
"09584","The Chef's Warehouse Midwest LLC","09584","Case","Cucumber - Bev 1each",3,,,Y,
"09587","Rare Foods","09587","Case","Fennel 1each",3,,,Y,
"09589","The Chef's Warehouse Midwest LLC","09589","Case","Ginger - Bev 1lb",32,,,Y,
