Confidence,SKU,Item Name,Category,Current Measure Type,Current Base UOM,Recommended Measure Type,Recommended Base UOM,Pack Analysis,Industry Standard,Reasoning
"DEFINITE","IT05803","Buttermilk 0.5gal","dairy","Each","gal","Volume","gal","Pack: 1x 0.5gal. Volume accumulates to 64. Volume-based.","Industry standard: Liquid dairy tracked by volume","✅ Strong agreement: Industry standard: Liquid dairy tracked by volume | ✅ Pack analysis confirms: Pack: 1x 0.5gal. Volume accumulates to 64. Volume-based."
"DEFINITE","ITGENLIGHTB","Light Brown Sugar 24/1 Lb Box","pantry","Each","lb","Weight","lb","Pack: 24x 1lb = 24lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 24x 1lb = 24lb total. Weight-based."
"DEFINITE","ITGENSPCKOS","SPC Kosher Salt 12/3 LB","pantry","Each","ea","Weight","lb","Pack: 12x 3lb = 36lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 12x 3lb = 36lb total. Weight-based."
"DEFINITE","ITGENSUGAR1","Sugar 10X Confectioners 24/1 LB","pantry","Each","lb","Weight","lb","Pack: 24x 1lb = 24lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 24x 1lb = 24lb total. Weight-based."
"DEFINITE","ITGENSIRGAL","Sir Galahad AP Flour 1/50 Lb Bag","pantry","Each","lb","Weight","lb","Pack: 1x 50lb = 50lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 1x 50lb = 50lb total. Weight-based."
"DEFINITE","ITGENSUGARC01","Sugar Cane Fine Granulated 1/50 LB CS Pit#: 2","pantry","Each","lb","Weight","lb","Pack: 1x 50lb = 50lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 1x 50lb = 50lb total. Weight-based."
"DEFINITE","DYGENBUTTER","Butter Beans 6/20 OZ","dairy","Each","lb","Weight","lb","Pack: 6x 20oz = 120oz total. Weight-based.","Industry standard: Solid dairy tracked by weight","✅ Strong agreement: Industry standard: Solid dairy tracked by weight | ✅ Pack analysis confirms: Pack: 6x 20oz = 120oz total. Weight-based."
"DEFINITE","ITGENSPCSEA01","SPC SEA Salt Coarse SEL Gris 1/22 LB PC Pi#: 5","pantry","Each","ea","Weight","lb","Pack: 1x 22lb = 22lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 1x 22lb = 22lb total. Weight-based."
"DEFINITE","ITGENSALTSE","Salt Sea Flakes 1/3 LB","pantry","Each","ea","Weight","lb","Pack: 1x 3lb = 3lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 1x 3lb = 3lb total. Weight-based."
"DEFINITE","ITGENSUGAR101","Sugar 10X Confectioners 24/1 LB","pantry","Each","lb","Weight","lb","Pack: 24x 1lb = 24lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 24x 1lb = 24lb total. Weight-based."
