Internal SKU,Vendor SKU,Item Name
"TOS01","TOS01","Seaweed Dried Tosaka 2.2#/ea 1lb"
"VN148400","VN148400	","Coconut Milk 98fl.oz"
"IT001601701","0016017-01","Osetra Caviar 1oz"
"IT09584","09584","Cucumber, Hot House - Food 1cux"
"IT12857","12857","Sage 4oz"
"IT01452","01452","Blood Orange - Food 1each"
"GOL01","GOL01","Kinpaku 1sheet"
"KIK04","KIK04","Kogiku, Japanese Chrysanthemum 1each"
"LQGENBELVED","644781","Belvedere 750ml"
"IT001643001","0016940-01","Seabream, New Zealand 1lb"
"IT12393","QG52009","Oldbay 1lb"
"CRA01","CRA08","Snow Crab, Combo 1lb"
"IT001694001","TAI05","Ainan Tai (Seabream) 1lb"
"RICE03","RICE03","Niigata Koshihikari Rice 1each"
"IT001709901","0017099-01","Shortrib, Boneless 1lb"
"IT080012501","0800125-01","Swordfish 1lb"
"IT05803","BF104","Buttermilk 0.5gal"
"IT06042","06042","Ground Cinnamon 1lb"
"IT72296","72296","Mozzarella Skim 1lb"
"ISHI03","ISHI03 ","Parrotfish, Spotted 1lb"
"SFGENPADDLE","0016037-01","Paddlefish Caviar 250g"
"TOB04","TOB03","Tobiko Red 1lb"
"IT64395","64395","Nori, Gold 1each"
"IT5305702B1","5305702B1","Bouchard, 'Clos de la Mousse', Beaune 2005 1.5L"
"IT669419","669419","Caymus, Cabernet Sauvignon 2023 1L"
"IT1116399812"," 1116399-812","Chateau Lagrange 2016 750ml"
"IT1038517B03","1038517-B03","Chateau Pichon Lalande 1995 750ml"
"GB504N","GB504N","Banyuls Vinegar 500ml"
"IT108640","108640","Smith & Sheth, 'CRU' Chardonnay 2023 750ml"
"IT30317","30317","HI-ME, AJINOMOTO 1each"
"IT33122","33122","Domaine de Montille, 'Clos du Chateau', Bourgogne Blanc 2022 750ml"
"IT06026","06026","Oregano 12oz"
"IT99204","99204","Thai Chilies 1lb"
"IT25083","SPS132","Paprika Smoked 750g"
"IT00747","00747","Tomato 5x6 1case"
"IT625037","059376812","Entourage Rose 750ml"
"IT641745","641745","Fortunate Son, 'The Diplomat', Cabernet Sauvignon 2021 750ml"
"LTT4301023","LTT4301023","Littorai, 'Wendling Vineyard', Pinot Noir 2023 750ml"
"IT933301","933301","Salame, Chorizo Pamplona 1lb"
"IT84412","84412","Domaine de Trevallon 2022 750ml"
"IT9763774","9763774","DRC, La Tache 2022 750ml"
"IT9766819","9766819","Gaja, 'Dagromis', Barolo 2021 750ml"
"IT619611","619611","Minuty, Cotes de Provence Rose 2023 750ml"
"TYL3001023","TYL3001023","Tyler, 'Sta. Rita Hills', Pinot Noir 2023 750ml"
"UNA01","UNA01","Unagi (BBQ Eel) 5.8oz"
"BKGENBAGUET","600","Baguette 1each"
"IT10706015","10706015","Bluenose Filet, Skin On 1lb"
"IT664180","664180","Opus One 2022 750ml"
"IT629558","629558","Caymus, Cabernet Sauvignon 2022 750ml"
"AB85695P","AB85695P","Beef Strip Loin, Westholme 1lb"
"LOBS10","LOBS10","Lobster Meat, Can 1lb"
"IT003500901","0035009-01","Veal Shank Bone 1lb"
"WNGENGATOSA","Sales","El Gato, Sauvignon Blanc 2023 750ml"
"WNGENPETITV","1146758-B06","Le Petit Vauthier, Saint Emilion 2015 750ml"
"RDB3301121","RDB30NM21","Roche de Bellene, 'Vieilles Vignes', Gevrey Chambertin 2021 750ml"
"IT644885","644885","Dom Perignon, 'Luminous Vibe Dining', Champagne 750ml"
"IT481187","481187","Giuliana Prosecco 750ml"
"IT665835","665835","Opus One, 'Overture' 2022 750ml"
"ITSCV2416","ITSCV2416","Scavino, 'Bric del Fiasc', Barolo 2016 750ml"
"GRGENRICEBR","VN053060","Rice Bran Oil 35lb"
"IT01042","09558","Blueberry 1basket"
"IT954007","954007","Moet, 'Imperial', Rose Champagne 750ml"
"IT23FRV05","23FRV05","Raveneau, 'Montee de Tonnerre', Chablis 2023 750ml"
"IT20112","20112","Matsuri Koshihikari Rice 40lb"
"IT01250","01250","Peach, Organic 1layer"
"IT198652","516072","Telmont, Brut Champagne 750ml"
"WNGENPAGODE","1040600-B06","Pagodes de Cos, St. Estephe 2009 750ml"
"IT001309401","0013094-01 ","Pork Chorizo 1lb"
"IT20018","20018","Chanterelle Mushrooms 5lb"
"IT627195","627195","Opus One, 'Overture' 2021 750ml"
"DJC3401123","DJC3401123","Dujac, '1er Cru', Morey St Denis 2023 750ml"
"IT578234","578234","Clase Azul Plata 750ml"
