Description,Vendor,Category,PackType,Qty,UnitCost
"TRUFFLE PATE SABATINO 17.64 OZ","Dairyland Produce, LLC (dba Hardie's Fresh Foods)","Specialty & Gourmet","Ounce (OZ)",1,30
"CASE COKE * USA CAN E GAR 8 OZ 6 PACK GLASS","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",2,26
"Conejos Mezcal Espadin 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,24.37
"818 Tequila Anejo 6/Cs 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",3,33.5
"818 Tequila Blanco 6/Cs 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",3,24
"818 Tequila Eight Reserve 375mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,80
"818 Tequila Reposado 6/Cs 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",3,30.99
"Ancho Reyes Verde Chile Po 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,29.25
"Angostura Bitters 16OZ","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,26.5
"Aperol Liqueur 6/Cs 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",3,26.4
"Ardbeg Malt 10Yr 6/Cs 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",3,54.49
"Basil Hayden Straight Bourb 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",0,0
"Belvedere Organic Vodka 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,34.48
"Belvedere Organic Vodka 10 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,35
"Belvedere Organic Vodka 10 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",1,17.25
"Bittermens Xocolatl Mole 0.5OZ","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",1,39
"Blade & Bow Bourbon 6/Cs 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",3,31
"Bulleit Rye Whiskey 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,43.07
"Bushmills Irish Single Mal 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",0,43.07
"Cardamaro Vino Amaro 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",2,19.95
"Carpano Antica Formula Ver 375mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,16.58
"Casamigos Mezcal Joven 6/Cs 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",3,64.84
"Casamigos Tequila Anejo 6/C 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,52.86
"Casamigos Tequila Blanco 6/ 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,45.31
"Casamigos Tequila Reposado 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",5,48.44
"Casamigos Tequila Reposado 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,48.44
"Case Fever Tree Club Soda 500ML","Spec's Wine, Spirits & Finer Foods","Beverages (Non-Alc)","Case (CS)",1,15.12
"Case Fever Tree Elderflower 4PK","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",1,23.1
"Case Peychaud Bitters 10OZ","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",0,84
"Case Scrappy's Firewater Ti 5OZ","Spec's Wine, Spirits & Finer Foods","Beverages (Non-Alc)","Case (CS)",1,199.2
"Cincoro Tequila Anejo 6/Cs 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",2,105.4
