invoice_id,invoice_number,vendor,date,invoice_total,missing_value,storage_path
c679f502-a83e-433d-9d5c-61fc030eb17a,NE 07,UNKNOWN,2028-07-01,0,0,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310682887-New6_page6.pdf
191090af-b700-491c-9f00-03862bd30832,469949.1171,MARONI,2026-07-22,300.25,300.25,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310235041-New4_page9.pdf
2d47733d-38cb-4eb1-b812-dcbd23459095,LC#10000013G,MARION,2026-07-20,0,0,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310690486-New6_page7.pdf
247afc61-0fd3-463f-a4a6-8e6910511f59,402454834,OAK FARMS-DALLAS DFA DAIRY BRANDS,2026-01-29,0,0,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769307482664-New1_page4.pdf
a977ebef-338d-4248-84a7-a65510dd8252,05957,RARE FOODS,2026-01-23,210.92,210.92,uploads/1769306996525-Kitchen Invoices 9_pg8-8.pdf
d79b6ce9-7f22-4a36-b1e1-5ac4e4ac93e2,70998415,The Chefs Warehouse,2026-01-23,97.51,97.51,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310244595-New5_page1.pdf
498d6181-7300-4b38-9ef0-246d8d7ff1e1,70990569,Chefs Warehouse Midwest LLC,2026-01-23,831.2,831.2,uploads/1769304506777-Kitchen Invoices 9_pg6-6.pdf
4eb250e6-12d0-4be3-9efe-c95ac593715d,70990569,The Chefs Warehouse,2026-01-23,831.2,831.2,uploads/1769306947441-Kitchen Invoices 9_pg5-5.pdf
8d60cba5-a6f9-4115-baaf-da83049598b8,70998415,Chefs Warehouse Midwest LLC,2026-01-23,97.51,97.51,uploads/1769306974369-Kitchen Invoices 9_pg7-7.pdf
cdf04277-f372-4295-b45f-a3bb2a3676c6,01534401,Chef's Produce,2026-01-22,175,175,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769309773710-New4_page12.pdf
83a41872-5f75-4260-a74f-284508ab47b8,01534315,Chef's Produce,2026-01-22,279,279,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769306209016-Kitchen Invoices 8_pg4-4.pdf
92a60f34-3f04-489b-b1c9-d59d12315094,05919,RARE FOODS,2026-01-21,114.45,114.45,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769306198354-Kitchen Invoices 7_pg1-1.pdf
745b9e0b-b8be-41b5-b003-498f25846c27,70967410,The Chefs Warehouse,2026-01-21,60,60,uploads/1769306613973-Kitchen Invoices 7_pg2-2.pdf
efebad81-7325-4a45-b729-4028ccb1b3b9,70967410,Chefs Warehouse Midwest LLC,2026-01-21,60,60,uploads/1769304142809-Kitchen Invoices 7_pg2-2.pdf
415cadd5-5f9f-4cd0-ab8c-a551a9e12c0a,187926,Texas Steakhouse Steaks,2026-01-20,1963.63,1963.63,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310388085-New5_page9.pdf
